Date : 2023-10-01 09:29:30
Directory : c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu
Total : 642 files,  499221 codes, 101143 comments, 30508 blanks, all 630872 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| lib\U8g2\examples\mui\MUIInput3BtnBounce2                                                                                                                                                |          1 |        143 |        359 |         51 |        553 |
| lib\U8g2\examples\mui\MUIInput3BtnWithU8g2                                                                                                                                               |          1 |        124 |        365 |         51 |        540 |
| lib\U8g2\examples\mui\MUIInputSimpleRotary                                                                                                                                               |          1 |        138 |        359 |         50 |        547 |
| lib\U8g2\examples\mui\MUIInputVersatileRotaryEncoder                                                                                                                                     |          1 |        153 |        363 |         58 |        574 |
| lib\U8g2\examples\mui\MUIMinimal                                                                                                                                                         |          1 |         62 |        353 |         32 |        447 |
| lib\U8g2\examples\mui\MUIStopwatch                                                                                                                                                       |          1 |         95 |        367 |         46 |        508 |
| lib\U8g2\examples\page_buffer                                                                                                                                                            |         34 |      2,091 |     12,320 |        905 |     15,316 |
| lib\U8g2\examples\page_buffer\A2Printer                                                                                                                                                  |          1 |         89 |         47 |         32 |        168 |
| lib\U8g2\examples\page_buffer\ButtonEmoticon                                                                                                                                             |          1 |         47 |        363 |         22 |        432 |
| lib\U8g2\examples\page_buffer\Chinese                                                                                                                                                    |          1 |         24 |        350 |         13 |        387 |
| lib\U8g2\examples\page_buffer\ClipWindow                                                                                                                                                 |          1 |         27 |        365 |         25 |        417 |
| lib\U8g2\examples\page_buffer\Clock                                                                                                                                                      |          1 |         27 |        366 |         20 |        413 |
| lib\U8g2\examples\page_buffer\ContrastTest                                                                                                                                               |          1 |         50 |        355 |         23 |        428 |
| lib\U8g2\examples\page_buffer\Devanagari                                                                                                                                                 |          1 |         54 |        389 |         27 |        470 |
| lib\U8g2\examples\page_buffer\DirectAccess                                                                                                                                               |          1 |         78 |        373 |         35 |        486 |
| lib\U8g2\examples\page_buffer\DrawLog                                                                                                                                                    |          1 |         41 |        366 |         28 |        435 |
| lib\U8g2\examples\page_buffer\ExtUTF8                                                                                                                                                    |          1 |         29 |        357 |         21 |        407 |
| lib\U8g2\examples\page_buffer\FPS                                                                                                                                                        |          1 |        136 |        598 |         44 |        778 |
| lib\U8g2\examples\page_buffer\FlipMode                                                                                                                                                   |          1 |         54 |        342 |         24 |        420 |
| lib\U8g2\examples\page_buffer\GraphicsTest                                                                                                                                               |          1 |        221 |        357 |         47 |        625 |
| lib\U8g2\examples\page_buffer\HelloWorld                                                                                                                                                 |          1 |         18 |        382 |         20 |        420 |
| lib\U8g2\examples\page_buffer\IconMenu                                                                                                                                                   |          1 |        153 |        364 |         33 |        550 |
| lib\U8g2\examples\page_buffer\Japanese                                                                                                                                                   |          1 |         24 |        348 |         13 |        385 |
| lib\U8g2\examples\page_buffer\Korean                                                                                                                                                     |          1 |         24 |        348 |         13 |        385 |
| lib\U8g2\examples\page_buffer\LoadFromSD                                                                                                                                                 |          1 |        153 |        386 |         30 |        569 |
| lib\U8g2\examples\page_buffer\MechCount                                                                                                                                                  |          1 |         97 |        381 |         41 |        519 |
| lib\U8g2\examples\page_buffer\PowerSaveTest                                                                                                                                              |          1 |         32 |        342 |         14 |        388 |
| lib\U8g2\examples\page_buffer\PrintHelloWorld                                                                                                                                            |          1 |         20 |        348 |         13 |        381 |
| lib\U8g2\examples\page_buffer\PrintProgmem                                                                                                                                               |          1 |         32 |        351 |         19 |        402 |
| lib\U8g2\examples\page_buffer\PrintUTF8                                                                                                                                                  |          1 |         24 |        350 |         13 |        387 |
| lib\U8g2\examples\page_buffer\ScrollingText                                                                                                                                              |          1 |         36 |        365 |         31 |        432 |
| lib\U8g2\examples\page_buffer\SelectionList                                                                                                                                              |          1 |         43 |        350 |         25 |        418 |
| lib\U8g2\examples\page_buffer\Serial                                                                                                                                                     |          1 |         28 |        367 |         23 |        418 |
| lib\U8g2\examples\page_buffer\Shennong                                                                                                                                                   |          1 |        104 |        428 |         49 |        581 |
| lib\U8g2\examples\page_buffer\StateBufferLoop                                                                                                                                            |          1 |         36 |        379 |         29 |        444 |
| lib\U8g2\examples\page_buffer\Terminal                                                                                                                                                   |          1 |         34 |        365 |         26 |        425 |
| lib\U8g2\examples\page_buffer\U8g2Logo                                                                                                                                                   |          1 |         73 |        364 |         34 |        471 |
| lib\U8g2\examples\page_buffer\UpdatePartly                                                                                                                                               |          1 |         43 |        373 |         34 |        450 |
| lib\U8g2\examples\page_buffer\Weather                                                                                                                                                    |          1 |        110 |        376 |         35 |        521 |
| lib\U8g2\examples\page_buffer\XBM                                                                                                                                                        |          1 |         77 |        364 |         23 |        464 |
| lib\U8g2\examples\page_buffer\XORTest                                                                                                                                                    |          1 |         53 |        361 |         26 |        440 |
| lib\U8g2\examples\u8x8                                                                                                                                                                   |          7 |        345 |      1,775 |        119 |      2,239 |
| lib\U8g2\examples\u8x8\16x16Font                                                                                                                                                         |          1 |         18 |        290 |         15 |        323 |
| lib\U8g2\examples\u8x8\ArduboyTest                                                                                                                                                       |          1 |         86 |         38 |         17 |        141 |
| lib\U8g2\examples\u8x8\FlipMode                                                                                                                                                          |          1 |         27 |        285 |         14 |        326 |
| lib\U8g2\examples\u8x8\GraphicsTest                                                                                                                                                      |          1 |        140 |        292 |         30 |        462 |
| lib\U8g2\examples\u8x8\HelloWorld                                                                                                                                                        |          1 |         20 |        291 |         13 |        324 |
| lib\U8g2\examples\u8x8\MessageBox                                                                                                                                                        |          1 |         27 |        287 |         11 |        325 |
| lib\U8g2\examples\u8x8\Terminal                                                                                                                                                          |          1 |         27 |        292 |         19 |        338 |
| lib\U8g2\src                                                                                                                                                                             |        125 |    412,450 |     51,552 |      6,801 |    470,803 |
| lib\U8g2\src (Files)                                                                                                                                                                     |          5 |     34,233 |        590 |        538 |     35,361 |
| lib\U8g2\src\clib                                                                                                                                                                        |        120 |    378,217 |     50,962 |      6,263 |    435,442 |
| src                                                                                                                                                                                      |          1 |        145 |         17 |         22 |        184 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                 | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\Adafruit_NeoPixel_ZeroDMA.cpp                                               | C++          |        281 |        123 |         38 |        442 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\Adafruit_NeoPixel_ZeroDMA.h                                                 | C++          |         31 |         16 |          8 |         55 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\README.md                                                                   | Markdown     |         59 |          0 |         12 |         71 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\bittable.h                                                                  | C++          |        261 |          2 |          3 |        266 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\examples\strandtest\strandtest.ino                                          | C++          |         31 |         33 |         10 |         74 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\extras\pinfinder.py                                                         | Python       |        411 |        128 |         28 |        567 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\library.properties                                                          | Properties   |         10 |          0 |          1 |         11 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_DMA_neopixel_library\pins.h                                                                      | C++          |        158 |        210 |         37 |        405 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\Adafruit_NeoPixel.cpp                                                                   | C++          |      2,591 |        609 |        275 |      3,475 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\Adafruit_NeoPixel.h                                                                     | C++          |        181 |        203 |         29 |        413 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\CONTRIBUTING.md                                                                         | Markdown     |          7 |          0 |          7 |         14 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\README.md                                                                               | Markdown     |        111 |          0 |         48 |        159 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\esp.c                                                                                   | C            |        122 |         33 |         24 |        179 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\esp8266.c                                                                               | C            |         72 |          3 |         12 |         87 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\RGBWstrandtest\RGBWstrandtest.ino                                              | C++          |        108 |         39 |         31 |        178 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestArduinoBLECallback\StrandtestArduinoBLECallback.ino                  | C++          |        136 |         76 |         28 |        240 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestArduinoBLE\StrandtestArduinoBLE.ino                                  | C++          |        130 |         75 |         27 |        232 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE\BLESerial.cpp                                                    | C++          |        117 |          1 |         16 |        134 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE\BLESerial.h                                                      | C++          |         37 |          0 |         10 |         47 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE\StrandtestBLE.ino                                                | C++          |        109 |         68 |         16 |        193 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay\BLESerial.cpp                                            | C++          |        117 |          1 |         16 |        134 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay\BLESerial.h                                              | C++          |         37 |          0 |         10 |         47 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\StrandtestBLE_nodelay\StrandtestBLE_nodelay.ino                                | C++          |        127 |         54 |         18 |        199 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\buttoncycler\buttoncycler.ino                                                  | C++          |        100 |         50 |         15 |        165 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\simple\simple.ino                                                              | C++          |         22 |         16 |         13 |         51 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\simple_new_operator\simple_new_operator.ino                                    | C++          |         24 |         28 |         16 |         68 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest\strandtest.ino                                                      | C++          |         67 |         56 |         21 |        144 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest_nodelay\strandtest_nodelay.ino                                      | C++          |        129 |         41 |         17 |        187 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest_wheel\strandtest_wheel.ino                                          | C++          |         92 |         23 |         20 |        135 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\kendyte_k210.c                                                                          | C            |         61 |          3 |         11 |         75 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\library.properties                                                                      | Properties   |         10 |          0 |          1 |         11 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\rp2040_pio.h                                                                            | C++          |         43 |         10 |         11 |         64 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\ISSUE_TEMPLATE.md                                                                                 | Markdown     |         52 |          0 |         12 |         64 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\README.md                                                                                         | Markdown     |         35 |          0 |         10 |         45 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\appveyor.yml                                                                                      | YAML         |         36 |          0 |         16 |         52 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_AT_Firmware\AT_Firmware_WiFi\AT_Firmware_WiFi.ino                                | C++          |         10 |         44 |          4 |         58 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_ArduinoJson\ArduinoJson_WiFi\ArduinoJson_WiFi.ino                                | C++          |         43 |         44 |         17 |        104 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Bridge\Bridge_WiFi\Bridge_WiFi.ino                                               | C++          |         29 |         45 |         14 |         88 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_CLOUDDATA\CLOUDDATA_WiFi\CLOUDDATA_WiFi.ino                        | C++          |         32 |         44 |         13 |         89 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_Coordinate\Coordinate_WiFi\Coordinate_WiFi.ino                     | C++          |         34 |         44 |         14 |         92 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_ConfigData\Blinker_ConfigData.ino              | C++          |         35 |         45 |         13 |         93 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_TextData\Blinker_TextData.ino                  | C++          |         25 |         44 |         11 |         80 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_DataStorage\Blinker_TimeSlotData\Blinker_TimeSlotData.ino          | C++          |         32 |         44 |         12 |         88 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_GPSData\GPSData_WiFi\GPSData_WiFi.ino                              | C++          |         33 |         50 |         13 |         96 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Cloud\Blinker_LOG\LOG_WiFi\LOG_WiFi.ino                                          | C++          |         34 |         44 |         14 |         92 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_ESP32_CAM\Blinker_ESP32_CAM.ino                                                  | C++          |         32 |         44 |         14 |         90 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_ESP32_CAM\ESP32_CAM_SERVER.h                                                     | C++          |        206 |         21 |         29 |        256 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Hello\Blinker_HTTP\Blinker_HTTP.ino                                              | C++          |         39 |         50 |         14 |        103 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Hello\Hello_BLE\Hello_BLE.ino                                                    | C++          |         30 |         44 |         11 |         85 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Hello\Hello_WiFi\Hello_WiFi.ino                                                  | C++          |         33 |         50 |         12 |         95 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Hello\Hello_WiFi_Without_SSL\Hello_WiFi_Without_SSL.ino                          | C++          |         34 |         50 |         12 |         96 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_MQTT\MQTT_PUB\MQTT_PUB.ino                                                       | C++          |         38 |         50 |         13 |        101 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_AIR202\Blinker_PRO_AIR202.ino                                    | C++          |         57 |         87 |         19 |        163 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Change_Server\Blinker_Pro_Change_Server.ino                      | C++          |         74 |         76 |         24 |        174 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_ESP\Blinker_PRO_ESP.ino                                          | C++          |         72 |         76 |         22 |        170 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_ESP_APCONFIG\Blinker_PRO_ESP_APCONFIG.ino                        | C++          |         73 |         86 |         23 |        182 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event\Event_Error\Event_Error.ino                                | C++          |         72 |         86 |         23 |        181 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event\Event_Message\Event_Message.ino                            | C++          |         72 |         86 |         23 |        181 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Event\Event_Warning\Event_Warning.ino                            | C++          |         72 |         86 |         23 |        181 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_OTA\OTA_PRO\OTA_PRO.ino                                          | C++          |         74 |         85 |         26 |        185 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_SIM7020\Blinker_PRO_SIM7020.ino                                  | C++          |         57 |         87 |         19 |        163 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO\Blinker_PRO_Wlan_Config\Blinker_PRO_Wlan_Config.ino                          | C++          |         87 |         97 |         27 |        211 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_PRO_Device\Blinker_PRO_Plug\Blinker_PRO_Plug.ino                                 | C++          |         94 |         86 |         29 |        209 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_RT_DATA\Blinker_RT_DATA.ino                                                      | C++          |         33 |         44 |         12 |         89 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Sensor\Blinker_BMP180\BMP180_WiFi\BMP180_WiFi.ino                                | C++          |         42 |         46 |         16 |        104 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Sensor\Blinker_DHT\DHT_BLE\DHT_BLE.ino                                           | C++          |         53 |         48 |         25 |        126 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Sensor\Blinker_DHT\DHT_WiFi\DHT_WiFi.ino                                         | C++          |         56 |         48 |         26 |        130 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_AIRCONDITION\AliGenie_AIRCONDITION.ino | C++          |        145 |         50 |         44 |        239 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_FAN\AliGenie_FAN.ino                   | C++          |        126 |         47 |         38 |        211 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_LIGHT\AliGenie_LIGHT.ino               | C++          |        314 |         58 |         67 |        439 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_MULTI_OUTLET\AliGenie_MULTI_OUTLET.ino | C++          |         73 |         44 |         22 |        139 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_OUTLET\AliGenie_OUTLET.ino             | C++          |         66 |         44 |         21 |        131 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_AliGenie\AliGenie_SENSOR\AliGenie_SENSOR.ino             | C++          |         47 |         44 |         14 |        105 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_AIRCONDITION\DuerOS_AIRCONDITION.ino       | C++          |        142 |         62 |         47 |        251 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_FAN\DuerOS_FAN.ino                         | C++          |        121 |         63 |         41 |        225 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_LIGHT\DuerOS_LIGHT.ino                     | C++          |        209 |         60 |         64 |        333 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_MULTI_OUTLET\DuerOS_MULTI_OUTLET.ino       | C++          |         51 |         44 |         20 |        115 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_OUTLET\DuerOS_OUTLET.ino                   | C++          |         91 |         47 |         32 |        170 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_DuerOS\DuerOS_SENSOR\DuerOS_SENSOR.ino                   | C++          |         79 |         44 |         14 |        137 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_AIRCONDITION\MIOT_AIRCONDITION.ino             | C++          |        158 |         55 |         43 |        256 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_FAN\MIOT_FAN.ino                               | C++          |        117 |         47 |         36 |        200 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_LIGHT\MIOT_LIGHT.ino                           | C++          |        200 |         53 |         56 |        309 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_MULTI_OUTLET\MIOT_MULTI_OUTLET.ino             | C++          |         73 |         44 |         22 |        139 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_OUTLET\MIOT_OUTLET.ino                         | C++          |         66 |         44 |         21 |        131 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Voice_Assistant\Blinker_MIOT\MIOT_SENSOR\MIOT_SENSOR.ino                         | C++          |         49 |         44 |         14 |        107 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Weathers\Blinker_Air\Air_WiFi\Air_WiFi.ino                                       | C++          |         33 |         44 |         13 |         90 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Weathers\Blinker_Weather\Weather_WiFi\Weather_WiFi.ino                           | C++          |         39 |         44 |         14 |         97 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG\APCONFIG_WiFi\APCONFIG_WiFi.ino                     | C++          |         37 |         48 |         14 |         99 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_APCONFIG_V2\Blinker_APCONFIG_V2.ino                          | C++          |         37 |         48 |         13 |         98 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_ESPTOUCH\ESPTOUCH_WiFi\ESPTOUCH_WiFi.ino                     | C++          |         37 |         48 |         14 |         99 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_WiFi_Config\Blinker_Multi_WiFi\Multi_WiFi\Multi_WiFi.ino                         | C++          |         40 |         50 |         15 |        105 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO\AUTO_Pro\AUTO_Pro.ino                                       | C++          |         86 |         76 |         28 |        190 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_AUTO\AUTO_WiFi\AUTO_WiFi.ino                                     | C++          |         64 |         49 |         22 |        135 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Button\Button_BLE\Button_BLE.ino                                 | C++          |         72 |         49 |         21 |        142 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Button\Button_WiFi\Button_WiFi.ino                               | C++          |         75 |         48 |         22 |        145 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat\Heartbeat_BLE\Heartbeat_BLE.ino                        | C++          |         44 |         44 |         18 |        106 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_Widgets\Blinker_Heartbeat\Heartbeat_WiFi\Heartbeat_WiFi.ino                      | C++          |         53 |         44 |         21 |        118 |
